dirID	site_name	airbasin_name	airbasin	facility	city	county	terrain	waterproximity	popdensity	lat	lon	attr.label
1	Arcata_WWTF	NC	North Coast	Arcata WWTF	Arcata	Humboldt	hilly or mountainous	coastal	1894.159779	40.85562	-124.090124	hilly or mountainous-coastal-low
2	Atwater_WWTF	SJ	San Joaquin Valley	Atwater WWTF	Atwater	Merced	flat	inland	4627.282563	37.276403	-120.63169	flat-inland-high
3	BakersfieldWWTP2	SJ	San Joaquin Valley	Bakersfield WWTP #2	Bakersfield	Kern	flat	inland	2444.233179	35.32572	-118.973238	flat-inland-low
4	Calexico_WPCP	SS	Salton Sea	Calexico WPCP	Calexico	Imperial	flat	inland	4596.712369	32.671926	-115.505188	flat-inland-high
5	Corona_WWTP1	SC	South Coast	Corona WWTP #1	Corona	Riverside	hilly or mountainous	inland	3924.589341	33.927683	-117.604756	hilly or mountainous-inland-high
6	Dublin_WWTP	SF	San Francisco Bay	Dublin San Ramon Services District Regional WWTP	Pleasanton	Alameda	hilly or mountainous	inland	2914.846435	37.68713	-121.915158	hilly or mountainous-inland-low
7	El_Dorado_WPP	MC	Mountain Counties	El Dorado Hills Reclamation Plant	El Dorado Hills	El Dorado	hilly or mountainous	inland	902.4	38.637366	-121.060204	hilly or mountainous-inland-low
8	Fairfield_Suisan	SF	San Francisco Bay	Fairfield-Suisan Sewer District	Fairfield	Solano	flat	coastal	2816.83086	38.222534	-122.078372	flat-coastal-low


9	Fresno-Clovis	SJ	San Joaquin Valley	Fresno/Clovis Regional Wastewater Reclamation	Fresno	Fresno	flat	inland	4418.361524	36.702497	-119.893086	flat-inland-high

10	Healdsburg_WRF	NC	North Coast	Healdsburg WRF	Healdsburg	Sonoma	hilly or mountainous	inland	2525.088958	38.583622	-122.862719	hilly or mountainous-inland-low

11	IEUA_Plant	SC	South Coast	IEUA Regional Plant No. 1	Ontario	San Bernardino	flat	inland	3282.386276	34.028642	-117.601852	flat-inland-high
12	Joint_WPCA	SC	South Coast	Joint Water Pollution Control Plant	Carson	Los Angeles	flat	coastal	4898.166857	33.831406	-118.282017	flat-coastal-high
13	Lancaster_WPP	MD	Mojave Desert	Lancaster Water Reclamation Plant	Lancaster	Los Angeles	flat	inland	1661.423154	34.785119	-118.155984	flat-inland-low

14	MONTEREY_WPCA	CC	North Central Coast	MONTEREY REG. WPCA	Marina	Monterey	hilly or mountainous	coastal	2219.765151	36.70564	-121.769894	hilly or mountainous-coastal-low
15	Palm_WPCP	SS	Salton Sea	Palm Springs WWTP	Palm Springs	Riverside	hilly or mountainous	inland	473.3710471	33.80629	-116.498436	hilly or mountainous-inland-low
16	Porterville_WWTF	SJ	San Joaquin Valley	Porterville WWTF	Porterville	Tulare	hilly or mountainous	inland	3076.277648	36.076366	-119.048096	hilly or mountainous-inland-high
17	Redding_WWTP	SV	Sacramento Valley	Redding Clear Creek WWTP	Redding	Shasta	hilly or mountainous	inland	1506.547428	40.50298	-122.369441	hilly or mountainous-inland-low
18	Sacramento	SV	Sacramento Valley	Sacramento Regional County Sanitation District	Elk Grove	Sacramento	flat	inland	3626.820618	38.448653	-121.463686	flat-inland-high
19	SanDiego_Metro	SD	San Diego	San Diego Metro Biosolids Center	San Diego	San Diego	hilly or mountainous	coastal	4020.449496	32.841723	-117.159168	hilly or mountainous-coastal-high
20	SanJose_WPCP	SF	San Francisco Bay	San Jose/Santa Clara WPCP	San Jose	Santa Clara	flat	coastal	5358.643555	37.432731	-121.945137	flat-coastal-high


21	SOCWA_TP	SC	South Coast	SOCWA J. B. LATHAM TP	Dana Point	Orange	hilly or mountainous	coastal	5133.151557	33.466431	-117.683919	hilly or mountainous-coastal-high
22	Southeast_WPCP	SF	San Francisco Bay	Southeast Water Pollution Control Plant	San Francisco	San Francisco	hilly or mountainous	coastal	17179.16448	37.740667	-122.391201	hilly or mountainous-coastal-high
23	Ukiah_WWTP	NC	North Coast	Ukiah WWTP	Ukiah	Mendocino	hilly or mountainous	inland	3441.893738	39.112339	-123.191581	hilly or mountainous-inland-high
24	Vacaville_WWTP	SV	Sacramento Valley	Vacaville Easterly WWTP	Elmira	Solano	flat	inland	455.5	38.343537	-121.903879	flat-inland-low
25	Z-Best_Facility	SF	San Francisco Bay	Z Best Products	Gilroy	Santa Clara	hilly or mountainous	inland	3023.667048	36.9481043	-121.5240213	hilly or mountainous-inland-high
26	ZWEDC	SF	San Francisco Bay	ZWEDC	San Jose	Santa Clara	flat	coastal	5358.643555	37.43469	-121.9507	flat-coastal-high






