"","long","lat","order"
"492",-119.132033932099,36.400349258472,1
"493",-119.177624364724,36.4009685709801,2
"494",-119.1768708176,36.4378258082405,3
"495",-119.176116411257,36.474686383668,4
"496",-119.221759673078,36.4752854999899,5
"497",-119.267403765939,36.4758636007833,6
"498",-119.266700560667,36.5127282791679,7
"499",-119.265996552634,36.5495962702226,8
"500",-119.265291740463,36.5864675609447,9
"501",-119.219569463669,36.585888313624,10
"502",-119.218837725132,36.6227625083578,11
"503",-119.218105149842,36.6596399764836,12
"504",-119.172331439679,36.6590388786295,13
"505",-119.126558597607,36.6584166964362,14
"506",-119.080786653526,36.6577734306087,15
"507",-119.03501563733,36.6571090818753,16
"508",-118.989245578913,36.6564236509887,17
"509",-118.988381284989,36.693302255099,18
"510",-118.987516001702,36.730184105217,19
"511",-118.986649727351,36.7670691882773,20
"512",-118.94080205312,36.7663612752565,21
"513",-118.894955401695,36.7656322398783,22
"514",-118.849109803108,36.7648820829697,23
"515",-118.803265287392,36.7641108053816,24
"516",-118.757421884573,36.7633184079888,25
"517",-118.711579624673,36.7625048916901,26
"518",-118.665738537708,36.761670257408,27
"519",-118.619898653694,36.7608145060892,28
"520",-118.574060002636,36.7599376387043,29
"521",-118.528222614539,36.7590396562475,30
"522",-118.482386519402,36.7581205597373,31
"523",-118.436551747217,36.757180350216,32
"524",-118.437732667988,36.7203017930938,33
"525",-118.438912238139,36.6834264649462,34
"526",-118.440090459983,36.6465543788423,35
"527",-118.485846694937,36.6474927281956,36
"528",-118.486997451446,36.6106232778896,37
"529",-118.488146894047,36.5737570961047,38
"530",-118.533852231763,36.5746731637545,39
"531",-118.534974300637,36.5378096588539,40
"532",-118.536095089783,36.5009494488929,41
"533",-118.537214601388,36.4640925468785,42
"534",-118.538332837633,36.4272389658054,43
"535",-118.539449800698,36.3903887186558,44
"536",-118.585026395448,36.3912807914518,45
"537",-118.586116171198,36.3544333022005,46
"538",-118.540565492755,36.3535418183999,47
"539",-118.541679915971,36.3166982779952,48
"540",-118.54279307251,36.2798581103871,49
"541",-118.58829200661,36.280748417268,50
"542",-118.633792175889,36.2816177894672,51
"543",-118.679293551003,36.2824662260056,52
"544",-118.724796102603,36.2832937259272,53
"545",-118.725804669654,36.2464546752576,54
"546",-118.771282532136,36.2472607049817,55
"547",-118.772264147065,36.2104245220108,56
"548",-118.817717316576,36.2112091085869,57
"549",-118.863171570796,36.2119727834578,58
"550",-118.908626880458,36.2127155457639,59
"551",-118.907722697552,36.2495532428272,60
"552",-118.953204847626,36.2502755687983,61
"553",-118.998687996297,36.2509769667388,62
"554",-119.044172114235,36.2516574358588,63
"555",-119.089657172108,36.252316975392,64
"556",-119.088855345563,36.2891599001816,65
"557",-119.088052606863,36.3260062144258,66
"558",-119.087248954452,36.3628559051951,67
"559",-119.041686262793,36.3621950572446,68
"560",-119.040855758276,36.3990476749281,69
"561",-119.08644438677,36.3997089595471,70
"562",-119.132033932099,36.400349258472,71
