"","id","lon1","lat1","Max","lon2","lat2","lon3","lat3","lon4","lat4"
"1","1",-121.984557282895,37.4617964867235,1.22821750333907,-121.983991985539,37.4617916274105,-121.98399808318,37.4613410121812,-121.984563377145,37.4613458714155
"2","2",-121.983991985539,37.4617916274105,1.28725760513053,-121.983426688318,37.4617867653938,-121.983432789351,37.4613361502432,-121.98399808318,37.4613410121812
"3","3",-121.983426688318,37.4617867653938,1.24866304865845,-121.982861391234,37.4617819006736,-121.982867495658,37.4613312856018,-121.983432789351,37.4613361502432
"4","4",-121.982861391234,37.4617819006736,1.26993781336205,-121.982296094285,37.4617770332498,-121.982302202101,37.4613264182567,-121.982867495658,37.4613312856018
"5","5",-121.982296094285,37.4617770332498,1.30488136692252,-121.981730797473,37.4617721631223,-121.981736908679,37.4613215482081,-121.982302202101,37.4613264182567
"6","6",-121.981730797473,37.4617721631223,1.29883266020855,-121.981165500796,37.4617672902912,-121.981171615394,37.4613166754559,-121.981736908679,37.4613215482081
"7","7",-121.981165500796,37.4617672902912,1.30929936752996,-121.980600204256,37.4617624147566,-121.980606322245,37.4613118000001,-121.981171615394,37.4613166754559
"8","8",-121.980600204256,37.4617624147566,1.30985574961719,-121.980034907852,37.4617575365183,-121.980041029232,37.4613069218409,-121.980606322245,37.4613118000001
"9","9",-121.980034907852,37.4617575365183,1.32335680340953,-121.979469611584,37.4617526555764,-121.979475736356,37.461302040978,-121.980041029232,37.4613069218409
